"","yearday","mint","maxt","rad"
"139",139,19.3052,28.8453,233.877083333333
"140",140,19.3842,29.0245,283.939583333333
"141",141,21.2033,28.2556,317.147916666667
"142",142,20.4558,28.2879,322.077083333333
"143",143,21.7795,29.3307,304.93125
"144",144,22.3514,29.5557,296.808333333333
"145",145,24.0992,30.5337,326.689583333333
"146",146,24.7376,30.6505,323.183333333333
"147",147,24.4531,31.3126,297.5125
"148",148,21.3253,31.5776,321.725
"149",149,21.163,31.5795,343.6125
"150",150,21.6925,31.1089,308.652083333333
"151",151,21.621,30.9787,NA
"152",152,22.541,29.9275,286.579166666667
"153",153,23.3929,31.479,252.708333333333
"154",154,25.2839,31.1227,295.860416666667
"155",155,19.4259,27.9461,356.608333333333
"156",156,20.4185,27.021,258.21875
"157",157,20.4625,29.4677,352.383333333333
"158",158,24.0401,31.3804,338.625
"159",159,21.9738,31.3564,287.270833333333
"160",160,21.0269,31.5337,320.847916666667
"161",161,20.3398,30.5545,311.75625
"162",162,19.6753,27.8466,204.39375
"163",163,19.9504,29.3356,222.260416666667
"164",164,20.4328,26.6166,220.55625
"165",165,20.7541,28.238,275.179166666667
"166",166,21.5736,29.9955,256.341666666667
"167",167,21.2381,30.9692,267.2
"168",168,22.3779,30.7198,320.189583333333
"169",169,21.7819,31.6053,318.389583333333
"170",170,23.7288,31.9817,312.252083333333
"171",171,24.4503,31.7336,267.135416666667
"172",172,22.4298,28.2106,199.085416666667
"173",173,21.0082,28.1519,168.55
"174",174,22.603,29.6849,177.645833333333
"175",175,23.9479,31.2644,308.6875
"176",176,23.2385,32.0663,281.535416666667
"177",177,22.2429,32.8745,308.208333333333
"178",178,22.6627,31.75,295.902083333333
"179",179,24.5176,32.9372,273.681395348837
"180",180,NA,NA,326.65
"181",181,NA,NA,291.970833333333
"182",182,NA,NA,259.422916666667
"183",183,NA,NA,131.154166666667
"184",184,23.1571,30.9799,293.4375
"185",185,23.1064,30.7452,244.679166666667
"186",186,22.5705,30.493,308.379166666667
"187",187,23.4171,30.6009,234.727083333333
"188",188,NA,NA,2.5
"189",189,NA,NA,NA
"190",190,25.508,26.0896,NA
"191",191,24.1936,31.7335,311.888888888889
"192",192,25.9936,32.2868,309.133333333333
"193",193,24.3189,31.5481,218.916666666667
"194",194,23.3682,30.2166,257.110416666667
"195",195,21.5295,30.8313,168.585416666667
"196",196,22.3866,31.0111,235.727083333333
"197",197,21.8222,28.9425,112.29375
"198",198,22.0664,30.4977,231.822916666667
"199",199,22.0173,31.4965,296.208333333333
"200",200,NA,NA,157.095744680851
"201",201,NA,NA,265.025
"202",202,NA,NA,273.377083333333
"203",203,NA,NA,314.658333333333
"204",204,27.5881,28.6315,267.472916666667
"205",205,21.535,29.7996,231.013333333333
"206",206,22.3223,31.6478,308.727083333333
"207",207,24.5702,31.9107,327.5
"208",208,22.9592,31.0237,287.252083333333
"209",209,22.6897,31.8115,300.495833333333
"210",210,23.3243,31.0049,253.135416666667
"211",211,22.0041,30.4222,268.595833333333
"212",212,20.3387,29.0599,190.958333333333
"213",213,20.4346,26.7102,126.152083333333
"214",214,21.5305,29.6171,220.8625
"215",215,22.7726,29.5489,268.39375
"216",216,23.3125,31.1806,259.485416666667
"217",217,25.2727,32.0714,290.1
"218",218,23.8665,32.6216,258.904166666667
"219",219,22.4796,32.2396,230.76875
"220",220,23.3145,31.1994,268.539583333333
"221",221,22.1067,29.1415,166.584782608696
"222",222,21.6593,29.4099,215.425
"223",223,23.538,32.1483,249.560416666667
"224",224,22.0117,30.4804,242.645833333333
"225",225,22.2672,31.2096,240.314583333333
"226",226,22.7826,31.695,247.827083333333
"227",227,22.781,32.0574,289.695833333333
"228",228,22.7365,31.5292,262.90625
"229",229,22.6748,28.4547,173.91875
"230",230,21.5438,27.5462,135.154166666667
"231",231,22.0484,28.6698,133.89375
"232",232,22.5326,28.4702,128.327083333333
"233",233,20.7989,28.9058,199.81875
"234",234,19.5815,28.1042,258.16875
"235",235,18.5318,28.8705,274.929166666667
"236",236,21.3419,29.6515,257.939583333333
"237",237,22.2782,30.5746,240.397916666667
"238",238,22.764,30.8161,284.710416666667
"239",239,23.0701,31.0717,239.895833333333
"240",240,22.9516,31.7019,276.358333333333
"241",241,20.4134,28.6581,210.033333333333
"242",242,20.6385,28.2252,183.60625
"243",243,NA,NA,171.622916666667
"244",244,20.5482,NA,235.352083333333
"245",245,22.4569,29.7443,247.025
"246",246,21.5665,30.007,219.514583333333
"247",247,21.039,30.022,185.625
"248",248,22.1657,29.5155,69.897619047619
"249",249,21.445,28.7935,224.34375
"250",250,22.7399,29.4804,255.739583333333
"251",251,23.5751,30.2017,251.375
"252",252,22.6648,30.6366,210.058333333333
"253",253,21.9088,30.1683,100.439583333333
"254",254,19.2882,29.6709,180.69375
"255",255,22.3617,27.1149,212.1125
"256",256,22.735,30.2577,194.077083333333
"257",257,22.7296,30.9119,217.010416666667
"258",258,23.386,31.1781,257.3
"259",259,23.643,32.5985,260.066666666667
"260",260,23.024,32.7857,232.091666666667
"261",261,23.1845,31.3775,250.61875
"262",262,22.9632,31.4748,255.491666666667
"263",263,23.2109,32.3806,241.758333333333
"264",264,22.7302,32.8517,169.3625
"265",265,23.0433,32.8322,208.325
"266",266,22.4981,30.3244,237.7125
"267",267,21.944,30.3868,122.733333333333
"268",268,21.439,29.7471,167.822916666667
"269",269,21.2046,28.5482,47.5229166666667
"270",270,21.4101,29.1808,76.2291666666667
"271",271,20.0343,25.2232,91.2395833333333
"272",272,17.9164,24.0644,193.75
"273",273,20.1163,26.5726,166.877083333333
"274",274,20.599,27.7486,106.122222222222
"275",275,21.2495,28.2024,215.616666666667
"276",276,20.8599,28.6984,212.614583333333
"277",277,23.0451,28.9668,197.516666666667
"278",278,23.9202,29.159,200.48125
"279",279,22.974,29.8686,190.108333333333
"280",280,21.6916,29.7141,216.958333333333
"281",281,20.1492,29.571,189.11875
"282",282,20.8137,29.0146,154.254347826087
"283",283,22.4924,28.5572,42.7395833333333
"284",284,17.5384,27.0807,225.935416666667
"285",285,10.5905,24.9365,222.5125
"286",286,15.4263,22.8918,196.56875
"287",287,17.3458,22.4633,179.525
"288",288,19.0777,27.2563,162.16875
"289",289,16.3564,27.778,62.1479166666667
"290",290,14.6685,28.1283,62.2166666666667
"291",291,11.5393,20.2228,192.4
"292",292,12.7494,20.4211,169.220833333333
"293",293,16.5587,24.192,61.175
"294",294,6.4062,24.6302,223.295833333333
"295",295,5.5696,16.8691,198.597916666667
"296",296,11.3016,18.4928,111.666666666667
"297",297,10.2729,18.6302,194.191666666667
"298",298,11.8235,21.8418,35.8041666666667
"299",299,11.7608,21.7929,50.6354166666667
"300",300,9.7353,14.773,154.064583333333
"301",301,11.2848,15.8079,190.066666666667
"302",302,14.0304,23.9026,191.24375
"303",303,12.4592,24.4077,182.816666666667
"304",304,16.9583,23.5929,141.704166666667
"305",305,17.0899,25.274,29.2458333333333
"306",306,8.5489,25.653,86.3145833333333
"307",307,8.1651,18.8044,186.133333333333
"308",308,9.0659,18.719,143.2125
"309",309,12.3679,19.1737,47.54375
"310",310,14.9342,18.4537,88.2708333333333
"311",311,12.9152,22.426,41.7645833333333
"312",312,11.9487,19.9143,32.7020833333333
"313",313,9.3703,14.314,22.0333333333333
"314",314,0.6081,15.8389,184.025
"315",315,-0.1757,8.9407,131.19375
"316",316,8.5817,13.5813,10.1916666666667
"317",317,6.4216,14.3305,11.0227272727273
"318",318,3.0857,9.9679,12.7
"319",319,-2.149,5.9468,62.9208333333333
"320",320,-0.28,3.6406,190.375
"321",321,8.6246,13.0454,147.416666666667
"322",322,9.8567,16.6957,166.622916666667
"323",323,10.4431,17.5143,104.170833333333
"324",324,7.1535,17.7539,156.420833333333
"325",325,1.8425,16.6617,163.570833333333
"326",326,3.4617,11.4695,115.045833333333
"327",327,4.9501,13.274,38.70625
"328",328,9.1621,14.4064,87.9833333333333
"329",329,8.3256,14.8601,67.3354166666667
"330",330,2.0959,16.5911,156.570833333333
"331",331,-3.0219,16.2116,162.1
"332",332,-1.8671,8.6141,148.554166666667
"333",333,6.2423,9.7442,74.3520833333333
"334",334,13.3295,16.5586,46.4354166666667
"335",335,13.9056,18.1233,35.5229166666667
"336",336,15.5224,18.7521,151.252083333333
"337",337,8.3852,22.9293,80.4088235294118
"338",338,NA,23.0016,310.454166666667
"339",339,NA,NA,157.039583333333
"340",340,NA,NA,127.55
"341",341,NA,NA,26.8666666666667
"342",342,NA,NA,7.9936170212766
"343",343,NA,NA,43.0948717948718
"344",344,NA,NA,24.2145833333333
"345",345,NA,NA,123.097916666667
"346",346,NA,NA,101.570833333333
"347",347,12.0082,NA,61.7229166666667
"348",348,NA,12.0082,25.1916666666667
"349",349,NA,NA,26.4958333333333
"350",350,NA,NA,74.1291666666667
"351",351,NA,NA,119.535416666667
"352",352,NA,NA,138.039583333333
"353",353,NA,NA,64.1104166666667
"354",354,NA,NA,13.65
"355",355,3.9289,NA,18
"356",356,NA,6.1771,146.239583333333
"357",357,NA,NA,72.3854166666667
"358",358,NA,NA,152.189583333333
"359",359,NA,NA,120.36875
"360",360,NA,NA,104.872916666667
"361",361,NA,NA,45.9466666666667
"362",362,NA,NA,56.0854166666667
"363",363,NA,NA,81.54375
"364",364,NA,NA,24.5291666666667
"365",365,NA,NA,52.8958333333333
